epochs,accuracy,loss,,val_accuracy,val_loss
0,0.4443,2.4367,0.001,0.3751,2.7572
1,0.5083,2.093,0.001,0.3756,2.7404
2,0.535,1.9781,0.001,0.3925,2.6057
3,0.5509,1.8943,0.001,0.4119,2.4974
4,0.566,1.8356,0.001,0.4211,2.4524
5,0.5759,1.776,0.001,0.4287,2.4042
6,0.5957,1.7047,0.001,0.4085,2.5369
7,0.6134,1.6281,0.001,0.4221,2.4667
8,0.6201,1.5934,0.001,0.4446,2.3771
9,0.6408,1.5112,0.001,0.3774,2.7352
10,0.6471,1.4771,0.001,0.41,2.5557
11,0.6668,1.4001,0.001,0.4101,2.5749
12,0.68,1.352,0.001,0.4248,2.4821
13,0.6966,1.2862,0.001,0.4654,2.2778
14,0.7076,1.2312,0.001,0.4497,2.3517
