epochs,accuracy,loss,lr,val_accuracy,val_loss
0,0.2901,3.2838,0.001,0.205,3.9038
1,0.3256,3.0117,0.001,0.1884,4.1169
2,0.3389,2.9457,0.001,0.2189,3.7188
3,0.3482,2.8884,0.001,0.249,3.4911
4,0.363,2.8286,0.001,0.2224,3.7666
5,0.3657,2.7923,0.001,0.254,3.5015
6,0.3791,2.756,0.001,0.218,3.821
7,0.3779,2.7378,0.001,0.2564,3.5436
8,0.3841,2.7071,0.001,0.2749,3.3471
9,0.393,2.672,0.001,0.2672,3.4009
10,0.3934,2.6587,0.001,0.2937,3.2038
11,0.3957,2.6535,0.001,0.2788,3.3371
12,0.3998,2.6065,0.001,0.2761,3.3384
13,0.4096,2.5781,0.001,0.3036,3.1564
14,0.408,2.5635,0.001,0.2988,3.1905
15,0.4101,2.5704,0.001,0.312,3.1217
16,0.4175,2.5246,0.001,0.3171,3.1117
17,0.4196,2.5132,0.001,0.3071,3.159
18,0.4323,2.4656,0.001,0.3097,3.1488
19,0.428,2.4685,0.001,0.3081,3.1617
20,0.4313,2.4601,0.001,0.2852,3.3307
21,0.4341,2.4386,0.001,0.309,3.132
22,0.4692,2.2807,0.0001,0.389,2.701
23,0.4818,2.2262,0.0001,0.3918,2.685
24,0.4881,2.1842,0.0001,0.3954,2.6598
25,0.4945,2.1755,0.0001,0.4009,2.6399
26,0.4939,2.1641,0.0001,0.4009,2.6352
27,0.4982,2.1483,0.0001,0.3998,2.6281
28,0.4988,2.1419,0.0001,0.3992,2.6528
29,0.5081,2.1121,0.0001,0.3992,2.6379
30,0.5075,2.1193,0.0001,0.4022,2.6205
31,0.5108,2.1048,0.0001,0.3957,2.6426
32,0.5081,2.1029,0.0001,0.406,2.6207
33,0.5088,2.089,0.0001,0.4052,2.6104
34,0.515,2.0819,0.0001,0.4011,2.6192
35,0.5157,2.071,0.0001,0.4042,2.6125
36,0.5173,2.0619,0.0001,0.4009,2.6276
37,0.52,2.0541,0.0001,0.4049,2.6226
38,0.523,2.0611,0.0001,0.4056,2.6072
39,0.5209,2.0456,0.0001,0.4068,2.6141
40,0.5164,2.0607,0.0001,0.4033,2.6143
41,0.5245,2.0285,0.0001,0.4038,2.6009
42,0.5254,2.0288,0.0001,0.406,2.6077
43,0.5233,2.0393,0.0001,0.4077,2.5836
44,0.5236,2.0346,0.0001,0.4099,2.59
45,0.5229,2.0278,0.0001,0.4134,2.5801
46,0.5345,2.0043,0.0001,0.4139,2.5791
47,0.5328,1.9983,0.0001,0.4117,2.5865
48,0.5344,1.9935,0.0001,0.4123,2.5791
49,0.5313,2.0038,0.0001,0.404,2.595
50,0.5305,1.9995,0.0001,0.4096,2.5852
51,0.5359,1.984,0.0001,0.4043,2.6221
52,0.5318,1.9886,0.00001,0.4126,2.5728
53,0.5388,1.98,0.00001,0.4159,2.568
54,0.5396,1.963,0.00001,0.4129,2.5786
55,0.5354,1.9843,0.00001,0.4141,2.5553
56,0.5377,1.977,0.00001,0.4126,2.5657
57,0.5426,1.9597,0.00001,0.4161,2.5481
58,0.5434,1.9611,0.00001,0.4177,2.5562
59,0.5455,1.9519,0.00001,0.416,2.545
60,0.5374,1.9726,0.00001,0.4166,2.547
61,0.54,1.9623,0.00001,0.4187,2.5428
62,0.5416,1.9684,0.00001,0.4132,2.5603
63,0.5445,1.9478,0.00001,0.4141,2.5595
64,0.5423,1.9609,0.00001,0.4136,2.5563
