epochs,accuracy,loss,lr,val_accuracy,val_accuracy,val_loss
0,0.3681,3.1033,,0.307,0.307,3.4591
1,0.3659,3.1107,,0.3257,0.3257,3.3411
2,0.3623,3.1141,,0.3126,0.3126,3.4054
3,0.3665,3.1153,,0.3022,0.3022,3.4959
4,0.3602,3.1256,,0.3054,0.3054,3.491
5,0.365,3.1183,,0.3033,0.3033,3.5017
6,0.3636,3.117,,0.3009,0.3009,3.4973
7,0.3628,3.1331,,0.2876,0.2876,3.5534
8,0.3659,3.1382,,0.2837,0.2837,3.6165
9,0.3584,3.1585,,0.2987,0.2987,3.5464
10,0.3609,3.158,,0.2768,0.2768,3.6737
11,0.3625,3.1602,,0.2767,0.2767,3.6432
12,0.3554,3.1641,,0.2893,0.2893,3.5949
13,0.3614,3.1758,,0.2676,0.2676,3.7903
14,0.3525,3.1922,,0.2725,0.2725,3.7092
15,0.3517,3.2091,,0.2725,0.2725,3.7149
16,0.3534,3.2151,,0.2623,0.2623,3.7694
17,0.3546,3.2211,,0.2636,0.2636,3.791
18,0.3504,3.2293,,0.2607,0.2607,3.8124
19,0.3586,3.2335,,0.2616,0.2616,3.833
20,0.3562,3.2405,,0.2664,0.2664,3.7777
21,0.3644,3.1928,,0.2726,0.2726,3.7622
22,0.364,3.2053,,0.2862,0.2862,3.6674
23,0.3669,3.1921,,0.2928,0.2928,3.6478
24,0.3662,3.1818,,0.2833,0.2833,3.7499
25,0.3732,3.1423,,0.3002,0.3002,3.6017
26,0.3793,3.1341,,0.2959,0.2959,3.6203
27,0.3847,3.1041,,0.3009,0.3009,3.5845
28,0.3843,3.0836,,0.3128,0.3128,3.58
29,0.3902,3.0638,,0.3131,0.3131,3.4971
30,0.3984,3.0242,,0.3101,0.3101,3.5149
31,0.3987,3.0023,,0.3295,0.3295,3.458
32,0.4072,2.9928,,0.3338,0.3338,3.4111
