epochs,accuracy,loss,lr,val_accurac,val_accurac,val_loss
0,0.4379,2.9957,,0.3982,0.3982,3.2187
1,0.4604,2.8773,,0.4095,0.4095,3.1481
2,0.4729,2.8131,,0.4173,0.4173,3.108
3,0.4775,2.7676,,0.4202,0.4202,3.0765
4,0.4833,2.7244,,0.4195,0.4195,3.0576
5,0.4869,2.6916,,0.4216,0.4216,3.0342
6,0.4906,2.6619,,0.4225,0.4225,3.0182
7,0.4969,2.6287,,0.4281,0.4281,2.9874
8,0.4999,2.5974,,0.4288,0.4288,2.9822
9,0.5071,2.5563,,0.4351,0.4351,2.9396
10,0.514,2.5211,,0.4374,0.4374,2.9227
11,0.4384,2.9124,,0.3922,0.3922,3.1704
12,0.4707,2.7345,,0.405,0.405,3.0967
13,0.485,2.6657,,0.4132,0.4132,3.0414
14,0.4955,2.6114,,0.4249,0.4249,2.9901
15,0.5032,2.5641,,0.418,0.418,2.9989
16,0.5117,2.5275,,0.423,0.423,2.9786
17,0.5187,2.483,,0.4234,0.4234,2.9781
18,0.5248,2.4436,,0.4268,0.4268,2.9297
19,0.5352,2.4006,,0.4266,0.4266,2.9405
20,0.5458,2.3444,,0.436,0.436,2.9013
21,0.5565,2.3073,,0.4394,0.4394,2.8667
22,0.5638,2.2667,,0.4475,0.4475,2.8463
